Category,Firm Name,HQ City,Founded Year,AUM/Fund Size,Stage Focus,Sector Focus,Key Partners/GPs,Notable Investments,Website,Why Relevant to Ainary Ventures
Established VC,Union Square Ventures,New York City,2003,~$1.5B,Seed / Early Stage,"Internet, Web3, Crypto, Marketplaces","Fred Wilson, Brad Burnham, Albert Wenger, Rebecca Kaden","Twitter, Etsy, Coinbase, Stripe, MongoDB, Kickstarter",https://www.usv.com,"Thesis-driven NYC pioneer; network-effects focus aligns with AI platform plays; strong crypto/web3 overlap with frontier tech"
Established VC,Insight Partners,New York City,1995,$90B+,Growth / Late Stage,"Software, SaaS, Data, Cybersecurity","Jeff Horing, Deven Parekh, Hilary Gosher","Shopify, Twitter, Wiz, SentinelOne, Monday.com",https://www.insightpartners.com,"Massive growth-stage partner for portfolio co-investment; ScaleUp expertise valuable for AI companies post-PMF"
Established VC,Thrive Capital,New York City,2009,~$25B,Seed through Late Stage,"Internet, AI, Fintech, Consumer Tech","Josh Kushner, Miles Grimshaw, Jared Weinstein","Instagram, Stripe, Robinhood, OpenAI, Spotify",https://www.thrivecap.com,"Major AI investor (OpenAI); cross-stage flexibility means potential co-investment from seed to growth"
Established VC,Lerer Hippeau,New York City,2010,$1.4B,Seed / Pre-Seed,"Consumer, Enterprise, Health, Commerce","Ben Lerer, Eric Hippeau, Andrea Hippeau","Allbirds, Casper, Mirror, Warby Parker, K Health",https://www.lererhippeau.com,"NYC's quintessential seed fund; 400+ portfolio = massive co-invest network; strong DTC & health-tech overlap"
Established VC,FirstMark Capital,New York City,2008,$3.5B,Seed / Early / Growth,"Data, AI, Commerce, Gaming, Media","Rick Heitzmann, Amish Jani, Matt Turck, Adam Nelson","Pinterest, Discord, DraftKings, Airbnb, Riot Games, Shopify",https://firstmark.com,"Matt Turck leads the MAD (ML/AI/Data) landscape report; deep AI/data thesis makes them natural co-investors"
Established VC,RRE Ventures,New York City,1994,~$2B,Seed / Series A / B,"Software, Fintech, Aerospace, Robotics","Jim Robinson IV, Stuart Ellman, Will Porteous, Raju Rishi","Venmo, Datadog, BuzzFeed, Business Insider, Spring Health",https://rre.com,"30-year NYC institution; early-stage focus + broad sector coverage; potential co-investor for AI-enabled verticals"
Established VC,Greycroft,New York City,2006,$3B+,Seed / Early / Growth,"Consumer, Digital Media, Commerce, Health","Dana Settle, Ian Sigalow, John Elton","Bumble, Venmo, The RealReal, Goop, HuffPost, Scopely",https://www.greycroft.com,"Large seed-to-growth platform in NYC; consumer + digital media thesis aligns with AI-driven consumer products"
Established VC,Bowery Capital,New York City,2013,~$300M (est.),Seed / Pre-Seed,B2B SaaS & Enterprise Software,"Michael Brown, Loren Straub","Alloy, Basis Technologies, Harmonyze, AllSpice",https://bowerycap.com,"B2B SaaS seed specialist with hands-on GTM support; strong fit for AI-native B2B tools in Ainary's portfolio"
Established VC,Lux Capital,New York City,2000,$7B+,Seed / Early / Growth,"Deep Tech, Science, Defense, AI, Biotech","Josh Wolfe, Peter Hébert, Deena Shakir","Anduril, Desktop Metal, Matterport, Latch, Eikon Therapeutics",https://luxcapital.com,"Premier deep-tech / frontier-science VC; strong AI thesis aligns directly with Ainary's AI-first approach"
Established VC,General Catalyst,"Cambridge, MA (NYC office)",2000,$43B+,Seed through Growth,"Enterprise, Health, Fintech, AI, Defense","Hemant Taneja, Ken Chenault, Niko Bonatsos","Airbnb, Stripe, Snap, HubSpot, Ramp, Anduril, Mistral AI",https://www.generalcatalyst.com,"$43B AUM mega-fund with AI conviction (Mistral); global platform for follow-on and co-investment at scale"
